,Actual_Price,Predicted_Price,Date
3006,238.8866729736328,236.2907770599095,2021-12-24
3007,241.86666870117188,247.86987822703028,2021-12-25
3008,239.7066650390625,247.97531621223595,2021-12-26
3009,232.22999572753903,233.79979350320633,2021-12-27
3010,215.73666381835935,220.25959477441643,2021-12-28
3011,220.88999938964844,220.92363089353753,2021-12-29
3012,233.0,232.2021306056125,2021-12-30
3013,213.1000061035156,215.4114385481709,2021-12-31
3014,216.75999450683597,219.51734699124106,2022-01-01
3015,237.0366668701172,241.40939643570124,2022-01-02
3016,236.086669921875,244.75434190407992,2022-01-03
3017,235.07000732421875,232.5086004100524,2022-01-04
3018,245.7066650390625,243.74735048698548,2022-01-05
3019,244.9199981689453,246.68210328126824,2022-01-06
3020,232.663330078125,241.14768883965453,2022-01-07
3021,228.4900054931641,225.09593838890476,2022-01-08
3022,224.47332763671875,224.75562023536511,2022-01-09
3023,227.26333618164065,226.10134367847613,2022-01-10
3024,233.0666656494141,227.440383363939,2022-01-11
3025,231.73333740234372,231.18620601285392,2022-01-12
3026,244.5433349609375,242.71039773954746,2022-01-13
3027,250.76333618164065,252.54434999910242,2022-01-14
3028,234.3433380126953,240.5350828345308,2022-01-15
3029,233.07000732421875,233.38849486331657,2022-01-16
3030,237.0399932861328,239.91771813184454,2022-01-17
3031,238.31333923339844,234.03844140154087,2022-01-18
3032,240.0666656494141,240.51789127687147,2022-01-19
3033,240.54666137695312,245.90038569014138,2022-01-20
3034,245.52999877929688,241.05049587190436,2022-01-21
3035,247.5,247.38504625044627,2022-01-22
3036,271.7066650390625,271.02493082987763,2022-01-23
3037,272.24334716796875,275.97681862437315,2022-01-24
3038,268.4333190917969,269.95245214426467,2022-01-25
3039,258.8599853515625,259.84063266043415,2022-01-26
3040,274.82000732421875,272.9194933448127,2022-01-27
3041,280.8999938964844,277.47321183770725,2022-01-28
3042,297.1499938964844,295.1970202905744,2022-01-29
3043,297.27667236328125,306.14868454611815,2022-01-30
3044,300.586669921875,305.02674243737545,2022-01-31
3045,307.39666748046875,305.6651269812434,2022-02-01
3046,308.6333312988281,308.48067717463476,2022-02-02
3047,288.1700134277344,292.64413728042234,2022-02-03
3048,290.42333984375,299.7569893999907,2022-02-04
3049,283.3333435058594,284.3187076691917,2022-02-05
3050,294.3566589355469,287.7853719129516,2022-02-06
3051,286.6300048828125,290.32659706506877,2022-02-07
3052,300.0299987792969,295.66948401504317,2022-02-08
3053,309.32000732421875,310.91790441307387,2022-02-09
3054,306.5633239746094,307.7845493880658,2022-02-10
3055,303.9966735839844,305.9935399302747,2022-02-11
3056,302.8699951171875,302.6731925135122,2022-02-12
3057,296.6666564941406,295.04979020489117,2022-02-13
3058,289.913330078125,287.71642794872315,2022-02-14
3059,296.4533386230469,295.0513705184176,2022-02-15
3060,297.0966796875,301.4468494174334,2022-02-16
3061,296.07000732421875,295.05052555138553,2022-02-17
3062,288.0899963378906,294.38454794891487,2022-02-18
